Date,Open,High,Low,Close
12-Apr-22,"4,437.59","4,471.00","4,381.34","4,397.45"
13-Apr-22,"4,394.30","4,453.92","4,392.70","4,446.59"
14-Apr-22,"4,449.12","4,460.46","4,390.77","4,392.59"
18-Apr-22,"4,385.63","4,410.31","4,370.30","4,391.69"
19-Apr-22,"4,390.63","4,471.03","4,390.63","4,462.21"
20-Apr-22,"4,472.26","4,488.29","4,448.76","4,459.45"
21-Apr-22,"4,489.17","4,512.94","4,384.47","4,393.66"
22-Apr-22,"4,385.83","4,385.83","4,267.62","4,271.78"
25-Apr-22,"4,255.34","4,299.02","4,200.82","4,296.12"
26-Apr-22,"4,278.14","4,278.14","4,175.04","4,175.20"
27-Apr-22,"4,186.52","4,240.71","4,162.90","4,183.96"
28-Apr-22,"4,222.58","4,308.45","4,188.63","4,287.50"
29-Apr-22,"4,253.75","4,269.68","4,124.28","4,131.93"
2-May-22,"4,130.61","4,169.81","4,062.51","4,155.38"
3-May-22,"4,159.78","4,200.10","4,147.08","4,175.48"
4-May-22,"4,181.18","4,307.66","4,148.91","4,300.17"
5-May-22,"4,270.43","4,270.43","4,106.01","4,146.87"
6-May-22,"4,128.17","4,157.69","4,067.91","4,123.34"
9-May-22,"4,081.27","4,081.27","3,975.48","3,991.24"
10-May-22,"4,035.18","4,068.82","3,958.17","4,001.05"
11-May-22,"3,990.08","4,049.09","3,928.82","3,935.18"
12-May-22,"3,903.95","3,964.80","3,858.87","3,930.08"
13-May-22,"3,963.90","4,038.88","3,963.90","4,023.89"
16-May-22,"4,013.02","4,046.46","3,983.99","4,008.01"
17-May-22,"4,052.00","4,090.72","4,033.93","4,088.85"
18-May-22,"4,051.98","4,051.98","3,911.91","3,923.68"
19-May-22,"3,899.00","3,945.96","3,876.58","3,900.79"
20-May-22,"3,927.76","3,943.42","3,810.32","3,901.36"
23-May-22,"3,919.42","3,981.88","3,909.04","3,973.75"
24-May-22,"3,942.94","3,955.68","3,875.13","3,941.48"
25-May-22,"3,929.59","3,999.33","3,925.03","3,978.73"
26-May-22,"3,984.60","4,075.14","3,984.60","4,057.84"
27-May-22,"4,077.43","4,158.49","4,077.43","4,158.24"
31-May-22,"4,151.09","4,168.34","4,104.88","4,132.15"
1-Jun-22,"4,149.78","4,166.54","4,073.85","4,101.23"
2-Jun-22,"4,095.41","4,177.51","4,074.37","4,176.82"
3-Jun-22,"4,137.57","4,142.67","4,098.67","4,108.54"
6-Jun-22,"4,134.72","4,168.78","4,109.18","4,121.43"
7-Jun-22,"4,096.47","4,164.86","4,080.19","4,160.68"
8-Jun-22,"4,147.12","4,160.14","4,107.20","4,115.77"
9-Jun-22,"4,101.65","4,119.10","4,017.17","4,017.82"
10-Jun-22,"3,974.39","3,974.39","3,900.16","3,900.86"
13-Jun-22,"3,838.15","3,838.15","3,734.30","3,749.63"
14-Jun-22,"3,763.52","3,778.18","3,705.68","3,735.48"
15-Jun-22,"3,764.05","3,837.56","3,722.30","3,789.99"
16-Jun-22,"3,728.18","3,728.18","3,639.77","3,666.77"
17-Jun-22,"3,665.90","3,707.71","3,636.87","3,674.84"
21-Jun-22,"3,715.31","3,779.65","3,715.31","3,764.79"
22-Jun-22,"3,733.89","3,801.79","3,717.69","3,759.89"
23-Jun-22,"3,774.71","3,802.58","3,743.52","3,795.73"
24-Jun-22,"3,821.75","3,913.65","3,821.75","3,911.74"
27-Jun-22,"3,920.76","3,927.72","3,889.66","3,900.11"
28-Jun-22,"3,913.00","3,945.86","3,820.14","3,821.55"
29-Jun-22,"3,825.09","3,836.50","3,799.02","3,818.83"
30-Jun-22,"3,785.99","3,818.99","3,738.67","3,785.38"
1-Jul-22,"3,781.00","3,829.82","3,752.10","3,825.33"
5-Jul-22,"3,792.61","3,832.19","3,742.06","3,831.39"
6-Jul-22,"3,831.98","3,870.91","3,809.37","3,845.08"
7-Jul-22,"3,858.85","3,910.63","3,858.85","3,902.62"
8-Jul-22,"3,888.26","3,918.50","3,869.34","3,899.38"
11-Jul-22,"3,880.94","3,880.94","3,847.22","3,854.43"
12-Jul-22,"3,851.95","3,873.41","3,802.36","3,818.80"
13-Jul-22,"3,779.67","3,829.44","3,759.07","3,801.78"
14-Jul-22,"3,763.99","3,796.41","3,721.56","3,790.38"
15-Jul-22,"3,818.00","3,863.62","3,817.18","3,863.16"
18-Jul-22,"3,883.79","3,902.44","3,818.63","3,830.85"
19-Jul-22,"3,860.73","3,939.81","3,860.73","3,936.69"
20-Jul-22,"3,935.32","3,974.13","3,922.03","3,959.90"
21-Jul-22,"3,955.47","3,999.29","3,927.64","3,998.95"
22-Jul-22,"3,998.43","4,012.44","3,938.86","3,961.63"
25-Jul-22,"3,965.72","3,975.30","3,943.46","3,966.84"
26-Jul-22,"3,953.22","3,953.22","3,910.74","3,921.05"
27-Jul-22,"3,951.43","4,039.56","3,951.43","4,023.61"
28-Jul-22,"4,026.13","4,078.95","3,992.97","4,072.43"
29-Jul-22,"4,087.33","4,140.15","4,079.22","4,130.29"
1-Aug-22,"4,112.38","4,144.95","4,096.02","4,118.63"
2-Aug-22,"4,104.21","4,140.47","4,079.81","4,091.19"
3-Aug-22,"4,107.96","4,167.66","4,107.96","4,155.17"
4-Aug-22,"4,154.85","4,161.29","4,135.42","4,151.94"
5-Aug-22,"4,115.87","4,151.58","4,107.31","4,145.19"
8-Aug-22,"4,155.93","4,186.62","4,128.97","4,140.06"
9-Aug-22,"4,133.11","4,137.30","4,112.09","4,122.47"
10-Aug-22,"4,181.02","4,211.03","4,177.26","4,210.24"
11-Aug-22,"4,227.40","4,257.91","4,201.41","4,207.27"
12-Aug-22,"4,225.02","4,280.47","4,219.78","4,280.15"
15-Aug-22,"4,269.37","4,301.79","4,256.90","4,297.14"
16-Aug-22,"4,290.46","4,325.28","4,277.77","4,305.20"
17-Aug-22,"4,280.40","4,302.18","4,253.08","4,274.04"
18-Aug-22,"4,273.13","4,292.53","4,261.98","4,283.74"
19-Aug-22,"4,266.31","4,266.31","4,218.70","4,228.48"
22-Aug-22,"4,195.08","4,195.08","4,129.86","4,137.99"
23-Aug-22,"4,133.09","4,159.77","4,124.03","4,128.73"
24-Aug-22,"4,126.55","4,156.56","4,119.97","4,140.77"
25-Aug-22,"4,153.26","4,200.54","4,147.59","4,199.12"
26-Aug-22,"4,198.74","4,203.04","4,057.66","4,057.66"
29-Aug-22,"4,034.58","4,062.99","4,017.42","4,030.61"
30-Aug-22,"4,041.25","4,044.98","3,965.21","3,986.16"
31-Aug-22,"4,000.67","4,015.37","3,954.53","3,955.00"
1-Sep-22,"3,936.73","3,970.23","3,903.65","3,966.85"
2-Sep-22,"3,994.66","4,018.43","3,906.21","3,924.26"
6-Sep-22,"3,930.89","3,942.55","3,886.75","3,908.19"
7-Sep-22,"3,909.43","3,987.89","3,906.03","3,979.87"
8-Sep-22,"3,959.94","4,010.50","3,944.81","4,006.18"
9-Sep-22,"4,022.94","4,076.81","4,022.94","4,067.36"
12-Sep-22,"4,083.67","4,119.28","4,083.67","4,110.41"
13-Sep-22,"4,037.12","4,037.12","3,921.28","3,932.69"
14-Sep-22,"3,940.73","3,961.94","3,912.18","3,946.01"
15-Sep-22,"3,932.41","3,959.14","3,888.28","3,901.35"
16-Sep-22,"3,880.95","3,880.95","3,837.08","3,873.33"
19-Sep-22,"3,849.91","3,900.45","3,838.50","3,899.89"
20-Sep-22,"3,875.23","3,876.01","3,827.54","3,855.93"
21-Sep-22,"3,871.40","3,907.07","3,789.49","3,789.93"
22-Sep-22,"3,782.36","3,790.90","3,749.45","3,757.99"
23-Sep-22,"3,727.14","3,727.14","3,647.47","3,693.23"
26-Sep-22,"3,682.72","3,715.67","3,644.76","3,655.04"
27-Sep-22,"3,686.44","3,717.53","3,623.29","3,647.29"
28-Sep-22,"3,651.94","3,736.74","3,640.61","3,719.04"
29-Sep-22,"3,687.01","3,687.01","3,610.40","3,640.47"
30-Sep-22,"3,633.48","3,671.44","3,584.13","3,585.62"
3-Oct-22,"3,609.78","3,698.35","3,604.93","3,678.43"
4-Oct-22,"3,726.46","3,791.92","3,726.46","3,790.93"
5-Oct-22,"3,753.25","3,806.91","3,722.66","3,783.28"
6-Oct-22,"3,771.97","3,797.93","3,739.22","3,744.52"
7-Oct-22,"3,706.74","3,706.74","3,620.73","3,639.66"
10-Oct-22,"3,647.51","3,652.17","3,588.10","3,612.39"
11-Oct-22,"3,595.86","3,640.66","3,568.45","3,588.84"
